Jack Roslovic,CLS,RW,27,5,8,13,-2,2,42,1,0,0,0,0,18,5
Jake DeBrusk,BOS,LW,25,5,3,8,-3,0,48,3,2,0,0,0,11,7
Mathew Barzal,NYI,C,23,5,12,17,-4,10,56,0,0,6,0,0,15,5
Victor Olofsson,BUF,LW,22,5,12,17,-7,4,50,0,1,2,0,0,3,6
Christian Dvorak,MON,LW,27,5,7,12,-13,20,47,0,0,2,0,0,15,36
Warren Foegele,EDM,LW,29,5,6,11,-6,4,48,1,2,0,0,0,45,7
Jonathan Drouin,MON,C,25,5,11,16,-6,8,45,0,0,3,0,0,17,6
Josh Morrissey,WPG,D,30,5,6,11,4,18,61,1,4,1,0,0,55,34
Chris Tierney,OTT,C,28,5,2,7,-11,8,32,1,3,2,0,0,19,19
Jimmy Vesey,NJ,LW,30,5,3,8,-9,6,49,1,0,0,2,0,45,17
Vinnie Hinostroza,BUF,RW,30,5,9,14,-4,8,47,0,0,0,0,0,10,3
Tony DeAngelo,CAR,D,22,5,16,21,10,23,46,1,0,7,0,0,10,14
Brendan Lemieux,LA,LW,19,5,1,6,5,39,22,1,0,0,0,0,55,7
Zach Sanford,OTT,LW,28,5,2,7,-11,24,39,0,1,1,0,0,55,21
Artturi Lehkonen,MON,LW,31,4,7,11,-4,12,55,0,0,0,0,0,36,15
William Carrier,VGK,LW,24,4,4,8,3,12,33,0,0,0,0,0,47,7
Nick Paul,OTT,LW,28,4,2,6,-16,9,57,0,1,0,0,0,30,22
Nathan Walker,STL,C,6,4,1,5,6,0,13,0,0,0,0,0,17,5
Carson Soucy,SEA,D,22,4,4,8,8,8,31,0,0,1,1,0,39,23
Brandon Montour,FLA,D,28,4,8,12,-1,24,54,0,1,3,0,0,13,23
Barclay Goodrow,NYR,LW,30,4,7,11,1,21,35,1,0,0,0,1,58,23
Alex Kerfoot,TOR,C,30,4,12,16,13,4,47,1,0,0,0,0,20,17
Connor Brown,OTT,RW,24,4,13,17,-7,4,38,0,0,5,0,2,9,11
Shayne Gostisbehere,ARI,D,29,4,14,18,-5,6,60,0,0,5,0,0,11,35
Sean Monahan,CGY,C,28,4,9,13,-9,8,43,2,2,6,0,0,24,12
Devon Toews,COL,D,16,4,16,20,19,4,33,0,1,4,0,0,15,17
Pierre Engvall,TOR,LW,30,4,6,10,0,10,61,0,1,2,0,0,25,3
Anders Bjork,BUF,LW,26,4,1,5,-5,4,27,0,0,0,0,0,6,7
Jake Evans,MON,LW,25,4,2,6,-6,6,39,0,0,0,0,0,41,9
Anthony Beauvillier,NYI,LW,24,4,4,8,-6,0,52,1,2,0,0,0,20,8
Denis Gurianov,DAL,RW,28,4,6,10,2,8,57,1,2,3,0,0,29,15
Jordan Greenway,MIN,LW,25,4,5,9,14,17,33,2,1,0,0,0,57,15
Derick Brassard,PHI,C,18,4,7,11,7,6,22,0,1,1,0,0,28,2
Darren Helm,COL,C,27,4,2,6,-1,6,44,0,0,0,1,1,33,11
Patric Hornqvist,FLA,RW,29,4,9,13,-3,11,71,0,1,3,0,0,50,8
Sam Gagner,DET,C,31,4,8,12,-8,16,49,0,0,1,0,0,9,12
Mikael Backlund,CGY,C,28,4,5,9,0,10,58,0,0,2,0,0,21,8
Andrew Ladd,ARI,LW,21,4,1,5,-8,14,20,0,1,0,0,0,38,13
Dustin Brown,LA,RW,30,4,8,12,0,10,92,0,0,0,0,0,56,8
Sidney Crosby,PIT,C,18,4,14,18,1,4,48,2,0,6,0,0,10,6
T.J. Oshie,WAS,RW,14,4,7,11,-4,8,22,1,1,3,0,0,29,10
Wayne Simmonds,TOR,RW,29,4,6,10,2,40,48,2,0,0,0,0,44,4
Brayden Schenn,STL,C,19,4,6,10,4,14,29,0,2,1,0,0,26,2
Zack Kassian,EDM,RW,25,4,8,12,0,31,26,1,1,0,0,0,73,2
Mike Hoffman,MON,LW,19,4,4,8,-12,8,52,2,2,3,0,0,9,6
Nick Bonino,SJ,C,30,4,0,4,-3,12,48,0,1,0,0,0,11,39
Cam Fowler,ANH,D,32,4,13,17,0,6,57,0,3,6,0,0,21,47
Torey Krug,STL,D,26,4,10,14,8,20,44,1,2,5,1,0,18,18
Blake Coleman,CGY,C,27,4,3,7,5,27,80,0,0,0,0,0,61,20
Victor Rask,MIN,C,20,4,5,9,6,2,22,0,0,0,0,0,7,2
Phillip Danault,LA,C,29,4,10,14,4,16,69,1,0,1,0,0,29,13
Morgan Rielly,TOR,D,30,4,22,26,11,8,81,2,1,9,0,0,30,32
Colton Sissons,NSH,RW,29,4,9,13,0,6,34,0,1,2,0,0,49,19
Tanner Pearson,VAN,LW,31,4,8,12,2,14,77,1,1,1,0,0,36,20
Jason Zucker,PIT,LW,30,4,7,11,1,10,81,0,1,0,0,0,48,15
Brendan Gallagher,MON,RW,23,4,6,10,-3,24,57,0,3,0,0,0,23,14
Nick Bjugstad,MIN,C,27,4,0,4,-5,6,47,0,0,0,0,0,44,11
Derek Forbort,BOS,D,26,4,1,5,-1,6,27,1,0,0,0,0,38,29
Dmitry Orlov,WAS,D,31,4,10,14,17,26,49,3,1,0,0,0,55,31
Filip Zadina,DET,RW,30,4,6,10,-9,4,71,1,2,2,0,0,21,17
Bowen Byram,COL,D,13,4,5,9,3,6,26,2,0,0,0,0,16,13
Connor McMichael,WAS,C,29,4,5,9,-2,6,60,0,0,0,0,0,22,9
Seth Jarvis,CAR,RW,20,4,7,11,4,2,38,2,0,2,0,0,14,9
Sam Steel,ANH,C,25,4,4,8,-3,2,23,0,0,1,0,0,4,11
Janne Kuokkanen,NJ,LW,28,4,2,6,-7,6,25,1,1,0,1,0,19,9
Nathan Bastian,NJ,RW,24,4,1,5,-2,33,24,0,1,0,0,0,55,14
Jake Bean,CLS,D,28,4,8,12,-1,10,47,2,0,0,0,1,12,43
Charlie McAvoy,BOS,D,25,4,11,15,3,23,53,1,2,6,0,0,48,48
Luke Kunin,NSH,C,30,4,7,11,5,17,46,0,0,2,0,0,78,21
Tyson Jost,COL,C,27,4,5,9,2,12,39,0,0,0,0,1,21,16
Taylor Raddysh,TB,RW,29,4,5,9,4,6,39,1,0,1,1,0,33,6
Yegor Sharangovich,NJ,LW,27,4,6,10,-1,2,45,1,0,1,0,0,10,8
Ryan Poehling,MON,C,17,4,1,5,-4,2,27,1,0,0,0,0,9,3
Miro Heiskanen,DAL,D,28,4,14,18,-6,10,71,1,2,5,0,0,19,40
Owen Tippett,FLA,RW,29,4,6,10,3,8,49,0,0,0,0,0,32,9
David Kampf,TOR,RW,30,4,5,9,1,10,36,1,0,0,0,0,32,10
Vinni Lettieri,ANH,C,8,3,1,4,-2,0,19,0,2,1,0,0,15,4
